"Database",
"ABI/INFORM Global",
"Australia & New Zealand Newsstream",
"Research Library",
"SciTech Premium Collection",
"ProQuest Historical Newspapers: The Guardian and The Observer",
"ProQuest Historical Newspapers: The Irish Times and The Weekly Irish Times",
"ProQuest Historical Newspapers: The New York Times",
"ProQuest Historical Newspapers: The Scotsman",
"ProQuest Historical Newspapers: The Times of India",
"The Vogue Archive"
